"snr","trial","stoppingT"
0.08,"V111",2228
0.08,"V112",2400
0.08,"V113",1066
0.08,"V114",2152
0.08,"V115",1236
0.08,"V116",1783
0.08,"V117",730
0.08,"V118",2400
0.08,"V119",22
0.08,"V120",879
0.08,"V121",2400
0.08,"V122",1336
0.08,"V123",2002
0.08,"V124",1403
0.08,"V125",1061
0.08,"V126",2400
0.08,"V127",836
0.08,"V128",1345
0.08,"V129",988
0.08,"V130",1396
0.08,"V131",20
0.08,"V132",2400
0.08,"V133",2198
0.08,"V134",1058
0.08,"V135",2400
0.08,"V136",1015
0.08,"V137",1120
0.08,"V138",1331
0.08,"V139",2
0.08,"V140",1634
0.08,"V141",1293
0.08,"V142",1061
0.08,"V143",1811
0.08,"V144",1138
0.08,"V145",1123
0.08,"V146",1288
0.08,"V147",1371
0.08,"V148",1092
0.08,"V149",944
0.08,"V150",1133
0.08,"V151",1237
0.08,"V152",1217
0.08,"V153",607
0.08,"V154",1242
0.08,"V155",924
0.08,"V156",1177
0.08,"V157",2400
0.08,"V158",2400
0.08,"V159",953
0.08,"V160",908
0.08,"V161",46
0.08,"V162",1462
0.08,"V163",932
0.08,"V164",2400
0.08,"V165",996
0.08,"V166",2400
0.08,"V167",2039
0.08,"V168",972
0.08,"V169",2400
0.08,"V170",1164
0.08,"V171",836
0.08,"V172",1127
0.08,"V173",847
0.08,"V174",1120
0.08,"V175",1223
0.08,"V176",2400
0.08,"V177",780
0.08,"V178",1549
0.08,"V179",1099
0.08,"V180",1109
0.08,"V181",2006
0.08,"V182",985
0.08,"V183",857
0.08,"V184",1062
0.08,"V185",1152
0.08,"V186",1048
0.08,"V187",1077
0.08,"V188",1243
0.08,"V189",903
0.08,"V190",1133
0.08,"V191",971
0.08,"V192",1289
0.08,"V193",1501
0.08,"V194",888
0.08,"V195",33
0.08,"V196",968
0.08,"V197",2227
0.08,"V198",1151
0.08,"V199",2400
0.08,"V200",1639
0.1,"V1",1224
0.1,"V2",876
0.1,"V3",698
0.1,"V4",1910
0.1,"V5",1018
0.1,"V6",925
0.1,"V7",842
0.1,"V8",1136
0.1,"V9",663
0.1,"V10",1144
0.1,"V11",1168
0.1,"V12",853
0.1,"V13",1145
0.1,"V14",1108
0.1,"V15",1051
0.1,"V16",703
0.1,"V17",985
0.1,"V18",1636
0.1,"V19",868
0.1,"V20",1811
0.1,"V21",2400
0.1,"V22",888
0.1,"V23",847
0.1,"V24",1431
0.1,"V25",756
0.1,"V26",891
0.1,"V27",985
0.1,"V28",873
0.1,"V29",847
0.1,"V30",1663
0.1,"V31",836
0.1,"V32",740
0.1,"V33",924
0.1,"V34",889
0.1,"V35",1139
0.1,"V36",904
0.1,"V37",1146
0.1,"V38",836
0.1,"V39",946
0.1,"V40",1172
0.1,"V41",1502
0.1,"V42",836
0.1,"V43",880
0.1,"V44",1181
0.1,"V45",149
0.1,"V46",888
0.1,"V47",766
0.1,"V48",1080
0.1,"V49",1029
0.1,"V50",931
0.1,"V51",1202
0.1,"V52",878
0.1,"V53",5
0.1,"V54",1311
0.1,"V55",1315
0.1,"V56",921
0.1,"V57",971
0.1,"V58",957
0.1,"V59",1844
0.1,"V60",842
0.1,"V61",1099
0.1,"V62",1158
0.1,"V63",836
0.1,"V64",2016
0.1,"V65",630
0.1,"V66",1738
0.1,"V67",1140
0.1,"V68",940
0.1,"V69",1178
0.1,"V70",1101
0.1,"V71",903
0.1,"V72",1384
0.1,"V73",1096
0.1,"V74",979
0.1,"V75",2400
0.1,"V76",840
0.1,"V77",1150
0.1,"V78",974
0.1,"V79",1141
0.1,"V80",153
0.1,"V81",1305
0.1,"V82",1156
0.1,"V83",1032
0.1,"V84",949
0.1,"V85",78
0.1,"V86",1254
0.1,"V87",648
0.1,"V88",1372
0.1,"V89",1043
0.1,"V90",1019
0.1,"V91",1112
0.1,"V92",1225
0.1,"V93",912
0.1,"V94",1037
0.1,"V95",937
0.1,"V96",951
0.1,"V97",1014
0.1,"V98",1389
0.1,"V99",920
0.1,"V100",836
0.1,"V101",985
0.1,"V102",1143
0.1,"V103",944
0.1,"V104",924
0.1,"V105",1306
0.1,"V106",1049
0.1,"V107",903
0.1,"V108",2057
0.1,"V109",1069
0.1,"V110",1201
0.1,"V111",681
0.1,"V112",836
0.1,"V113",1946
0.1,"V114",734
0.1,"V115",1282
0.1,"V116",900
0.1,"V117",864
0.1,"V118",1168
0.1,"V119",947
0.1,"V120",1129
0.1,"V121",4
0.1,"V122",1090
0.1,"V123",1145
0.1,"V124",1193
0.1,"V125",944
0.1,"V126",891
0.1,"V127",836
0.1,"V128",734
0.1,"V129",839
0.1,"V130",668
0.1,"V131",1817
0.1,"V132",1100
0.1,"V133",1326
0.1,"V134",1000
0.1,"V135",911
0.1,"V136",886
0.1,"V137",1160
0.1,"V138",1056
0.1,"V139",1009
0.1,"V140",670
0.1,"V141",664
0.1,"V142",934
0.1,"V143",1007
0.1,"V144",1488
0.1,"V145",871
0.1,"V146",922
0.1,"V147",1004
0.1,"V148",1173
0.1,"V149",1056
0.1,"V150",1028
0.1,"V151",220
0.1,"V152",912
0.1,"V153",1115
0.1,"V154",1191
0.1,"V155",2
0.1,"V156",1166
0.1,"V157",1319
0.1,"V158",999
0.1,"V159",864
0.1,"V160",1015
0.1,"V161",1084
0.1,"V162",854
0.1,"V163",1199
0.1,"V164",905
0.1,"V165",738
0.1,"V166",1183
0.1,"V167",864
0.1,"V168",905
0.1,"V169",951
0.1,"V170",1045
0.1,"V171",1067
0.1,"V172",884
0.1,"V173",2400
0.1,"V174",1072
0.1,"V175",1216
0.1,"V176",873
0.1,"V177",972
0.1,"V178",985
0.1,"V179",894
0.1,"V180",1018
0.1,"V181",918
0.1,"V182",1071
0.1,"V183",1338
0.1,"V184",882
0.1,"V185",1650
0.1,"V186",815
0.1,"V187",792
0.1,"V188",952
0.1,"V189",1508
0.1,"V190",839
0.1,"V191",968
